UniqueID,DateOfBite,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
84,3/12/2015,SHIH TZU,NA,U,FALSE,Brooklyn,11217
85,2/26/2015,PIT BULL,2,M,FALSE,Brooklyn,11216
86,3/13/2015,PUG,6,M,TRUE,Brooklyn,11231
87,3/15/2015,YORKSHIRE TERRIER,4,M,FALSE,Brooklyn,11205
88,3/14/2015,CHOW CHOW,3,M,FALSE,Brooklyn,11234
89,3/15/2015,AMERICAN STAFF,8,M,TRUE,Brooklyn,11230
90,3/14/2015,SHEPHERD,5,M,TRUE,Brooklyn,11229
91,3/16/2015,MALTESE,7,M,TRUE,Brooklyn,11221
92,3/18/2015,AMERICAN PIT BULL,5,M,TRUE,Brooklyn,11207
93,3/16/2015,YORKSHIRE TERRIER,1,M,FALSE,Brooklyn,11221
94,3/14/2015,COCKER SPANIEL,NA,U,FALSE,Brooklyn,11213
95,3/16/2015,AMERICAN PIT BULL,2,M,TRUE,Brooklyn,11234
96,3/16/2015,PIT BULL,NA,F,TRUE,Brooklyn,11223
97,3/9/2015,MINIATURE PINSCHER,NA,M,FALSE,Brooklyn,11235
98,3/22/2015,SHIH TZU,2,M,FALSE,Brooklyn,11223
99,3/21/2015,DOBERMAN,8,F,FALSE,Brooklyn,11204
100,3/22/2015,SHIH TZU,7,M,TRUE,Brooklyn,11208
101,3/22/2015,GERMAN SHEPHERD,NA,U,FALSE,Brooklyn,11217
102,3/21/2015,BULL DOG,6,M,TRUE,Brooklyn,11217
103,2/2/2015,PEKINGESE,4,M,FALSE,Brooklyn,11238
104,3/15/2015,CHIHUAHUA,6,M,FALSE,Brooklyn,11221
105,3/25/2015,TERRIER,5,M,FALSE,Brooklyn,11027
106,3/29/2015,PIT BULL,1,M,FALSE,Brooklyn,11224
107,3/20/2015,HARRIER,0.8,M,TRUE,Brooklyn,11235
108,3/27/2015,TERRIER,NA,U,FALSE,Brooklyn,11215
109,3/28/2015,DACHSHUND,4,M,TRUE,Brooklyn,11234
110,3/29/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11217
111,3/24/2015,BOXER,8,M,TRUE,Brooklyn,11231
112,4/3/2015,YORKSHIRE TERRIER,6,M,TRUE,Brooklyn,11233
113,4/6/2015,BULL DOG,0.7,M,FALSE,Brooklyn,11213
114,4/6/2015,AMERICAN STAFF,NA,U,FALSE,Brooklyn,11224
115,4/6/2015,AMERICAN PIT BULL,4,F,TRUE,Brooklyn,11212
116,3/27/2015,BOXER,5,F,FALSE,Brooklyn,11214
117,4/6/2015,CHIHUAHUA,0.3,M,FALSE,Brooklyn,11205
118,4/6/2015,POODLE,2,M,FALSE,Brooklyn,11213
119,4/7/2015,AMERICAN PIT BULL,NA,U,FALSE,Brooklyn,11231
120,4/1/2015,BULL DOG,1,M,FALSE,Brooklyn,11201
121,4/8/2015,CATAHOULA,1,M,TRUE,Brooklyn,11235
122,4/8/2015,OTHER,NA,U,FALSE,Brooklyn,11214
123,4/6/2015,YORKSHIRE TERRIER,6,F,FALSE,Brooklyn,11219
124,4/10/2015,COCKER SPANIEL,5,M,TRUE,Brooklyn,11206
125,4/3/2015,BOXER,6,F,TRUE,Brooklyn,11216
126,4/12/2015,GERMAN SHEPHERD,11,F,TRUE,Brooklyn,11209
127,4/10/2015,BULL DOG,0.2,M,FALSE,Brooklyn,11220
128,4/10/2015,AMERICAN PIT BULL,0.5,M,FALSE,Brooklyn,11224
129,4/12/2015,CHIHUAHUA,9,F,TRUE,Brooklyn,11224
130,4/10/2015,OTHER,NA,U,FALSE,Brooklyn,11208
131,4/13/2015,PIT BULL,9,M,FALSE,Brooklyn,11207
132,4/13/2015,CHIHUAHUA,0.75,M,FALSE,Brooklyn,11208
133,4/14/2015,AMERICAN PIT BULL,2,F,TRUE,Brooklyn,11216
134,4/10/2015,SIBERIAN HUSKY,NA,U,FALSE,Brooklyn,11226
135,4/16/2015,AMERICAN PIT BULL,1,F,FALSE,Brooklyn,11208
